127.0.0.1 - - [13/Jun/2015:16:23:43 -0400] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:23:47 -0400] "GET /mlm/um/editprofile.jsp HTTP/1.1" 200 15251
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:23:48 -0400] "GET /mlm/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:23:48 -0400] "GET /mlm/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:23:48 -0400] "GET /mlm/js/editprofile.js HTTP/1.1" 200 2972
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:23:48 -0400] "GET /mlm/images/header7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:23:48 -0400] "GET /mlm/images/logo/logo-new.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:23:53 -0400] "GET /mlm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:23:53 -0400] "GET /mlm/ HTTP/1.1" 200 2864
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:23:53 -0400] "GET /mlm/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:23:53 -0400] "GET /mlm/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:23:53 -0400] "GET /mlm/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:23:54 -0400] "GET /mlm/images/cover/changelife2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:23:54 -0400] "POST /mlm//user HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:23:54 -0400] "GET /mlm/images/cover/makemoney.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:23:54 -0400] "GET /mlm/images/cover/changelife1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:23:54 -0400] "GET /mlm/images/cover/happy.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:23:54 -0400] "GET /mlm/images/logo/logo-new.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:23:54 -0400] "GET /mlm/images/logo/arrow1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:23:54 -0400] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:23:56 -0400] "GET /mlm/um/login.jsp HTTP/1.1" 200 6138
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:23:56 -0400] "GET /mlm/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:23:56 -0400] "GET /mlm/js/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:23:56 -0400] "GET /mlm/images/header7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:23:58 -0400] "POST /mlm/doLogin HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:23:59 -0400] "GET /mlm/home HTTP/1.1" 200 9360
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:23:59 -0400] "GET /mlm/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:23:59 -0400] "GET /mlm/js/home.js HTTP/1.1" 200 2181
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:23:59 -0400] "POST /mlm/user HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:24:10 -0400] "GET /mlm/editprofile HTTP/1.1" 200 15267
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:24:10 -0400] "GET /mlm/js/editprofile.js HTTP/1.1" 200 2972
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:24:10 -0400] "POST /mlm//user HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:24:41 -0400] "GET /mlm/editprofile?optionsgender=Female&countryid=86&provinceid=QC HTTP/1.1" 200 15267
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:24:41 -0400] "POST /mlm//user HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:26:03 -0400] "GET /mlm/common/aboutus HTTP/1.1" 404 987
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:26:08 -0400] "POST /mlm//user HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:26:09 -0400] "GET /mlm/common/contactus HTTP/1.1" 200 6577
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:26:09 -0400] "GET /mlm/js/contactus.js HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:26:09 -0400] "GET /mlm/css/contactus.css HTTP/1.1" 200 896
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:32:21 -0400] "GET /mlm/common/aboutus HTTP/1.1" 404 987
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:33:59 -0400] "GET /mlm/products HTTP/1.1" 200 7432
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:33:59 -0400] "GET /mlm/js/mlm.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:33:59 -0400] "GET /mlm/js/products.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:34:00 -0400] "POST /mlm/common/category HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:34:00 -0400] "POST /mlm/productList HTTP/1.1" 200 991
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:34:01 -0400] "POST /mlm/common/shoppingCartSummary HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:34:01 -0400] "GET /mlm/images/products/1431196408229.png HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:34:01 -0400] "GET /mlm/images/products/1430073376837.jpg HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [13/Jun/2015:16:34:01 -0400] "GET /mlm/images/products/1430061933579.jpg HTTP/1.1" 404 1025
