0:0:0:0:0:0:0:1 - - [15/May/2015:17:52:41 -0400] "GET /mlm/js/products.js HTTP/1.1" 200 6600
0:0:0:0:0:0:0:1 - - [15/May/2015:17:52:41 -0400] "POST /mlm/common/category HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [15/May/2015:17:52:42 -0400] "POST /mlm/productList HTTP/1.1" 200 991
0:0:0:0:0:0:0:1 - - [15/May/2015:17:52:42 -0400] "POST /mlm/common/shoppingCartSummary HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [15/May/2015:17:52:42 -0400] "GET /mlm/images/products/1430061933579.jpg HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [15/May/2015:17:52:42 -0400] "GET /mlm/images/products/1430073376837.jpg HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [15/May/2015:17:52:43 -0400] "GET /mlm/images/products/1431196408229.png HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [15/May/2015:17:52:56 -0400] "GET /mlm/myshoppingcart HTTP/1.1" 200 6857
0:0:0:0:0:0:0:1 - - [15/May/2015:17:52:56 -0400] "GET /mlm/css/myshoppingcart.css HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [15/May/2015:17:52:56 -0400] "GET /mlm/js/myshoppingcart.js HTTP/1.1" 200 7731
0:0:0:0:0:0:0:1 - - [15/May/2015:17:52:56 -0400] "POST /mlm/shoppingcart HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [15/May/2015:17:52:57 -0400] "POST /mlm/common/shoppingCartSummary HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [15/May/2015:17:52:57 -0400] "POST /mlm/common/shoppingCartSummary HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [15/May/2015:17:53:02 -0400] "POST /mlm/common/category HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [15/May/2015:17:53:02 -0400] "POST /mlm/productList HTTP/1.1" 200 991
0:0:0:0:0:0:0:1 - - [15/May/2015:17:53:03 -0400] "POST /mlm/common/shoppingCartSummary HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [15/May/2015:17:53:14 -0400] "GET /mlm/home HTTP/1.1" 200 9354
